"Meter Timeswitch Class Id","Effective From Settlement Date {MTC}","Market Participant Id","Effective From Settlement Date {MTCPA}","Line Loss Factor Class Id","Effective From Settlement Date {VMTCLC}","Effective To Settlement Date {VMTCLC}"
"216","01/04/1996","EMEB","01/04/1996","61","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","919","01/04/1996",""
"216","01/04/1996","EMEB","01/04/1996","920","01/04/1996",""
"216","01/04/1996","EMEB","01/04/1996","921","01/04/1996","01/04/2005"
"216","01/04/1996","EMEB","01/04/1996","922","01/04/1996","01/04/2005"
"216","01/04/1996","EMEB","01/04/1996","923","01/04/1996","01/04/2005"
"216","01/04/1996","EMEB","01/04/1996","924","01/04/1996",""
"216","01/04/1996","EMEB","01/04/1996","925","01/04/1996",""
"216","01/04/1996","EMEB","01/04/1996","926","01/04/1996","01/04/2005"
"216","01/04/1996","EMEB","01/04/1996","927","01/04/1996","01/04/2005"
"216","01/04/1996","EMEB","01/04/1996","928","01/04/1996","01/04/2005"
"216","01/04/1996","EMEB","01/04/1996","929","01/04/1996",""
"216","01/04/1996","EMEB","01/04/1996","930","01/04/1996","01/04/2005"
"216","01/04/1996","EMEB","01/04/1996","931","01/04/1996",""
"216","01/04/1996","EMEB","01/04/1996","932","01/04/1996",""
"216","01/04/1996","EMEB","01/04/1996","933","01/04/1996","01/04/2005"
"216","01/04/1996","EMEB","01/04/1996","934","01/04/1996","01/04/2005"
"216","01/04/1996","EMEB","01/04/1996","935","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","936","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","937","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","938","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","939","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","940","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","941","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","942","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","943","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","944","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","945","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","946","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","947","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","948","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","949","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","950","01/04/1996","31/10/1998"
"216","01/04/1996","EMEB","01/04/1996","951","01/04/1996","31/03/1999"
"216","01/04/1996","EMEB","01/04/1996","952","01/04/1996","31/03/1999"
"216","01/04/1996","EMEB","01/04/1996","990","01/01/2002",""
"216","01/04/1996","EMEB","01/04/1996","991","01/01/2002",""
"216","01/04/1996","EMEB","01/04/1996","997","01/11/1998",""
"216","01/04/1996","EMEB","01/04/1996","998","01/11/1998",""
"216","01/04/1996","EMEB","01/04/1996","999","01/11/1998",""
"217","01/04/1996","EMEB","01/04/1996","58","01/04/1996",""
"217","01/04/1996","EMEB","01/04/1996","59","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","60","01/04/1996",""
"217","01/04/1996","EMEB","01/04/1996","61","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","919","01/04/1996",""
"217","01/04/1996","EMEB","01/04/1996","920","01/04/1996",""
"217","01/04/1996","EMEB","01/04/1996","921","01/04/1996","01/04/2005"
"217","01/04/1996","EMEB","01/04/1996","922","01/04/1996","01/04/2005"
"217","01/04/1996","EMEB","01/04/1996","923","01/04/1996","01/04/2005"
"217","01/04/1996","EMEB","01/04/1996","924","01/04/1996",""
"217","01/04/1996","EMEB","01/04/1996","925","01/04/1996",""
"217","01/04/1996","EMEB","01/04/1996","926","01/04/1996","01/04/2005"
"217","01/04/1996","EMEB","01/04/1996","927","01/04/1996","01/04/2005"
"217","01/04/1996","EMEB","01/04/1996","928","01/04/1996","01/04/2005"
"217","01/04/1996","EMEB","01/04/1996","929","01/04/1996",""
"217","01/04/1996","EMEB","01/04/1996","930","01/04/1996","01/04/2005"
"217","01/04/1996","EMEB","01/04/1996","931","01/04/1996",""
"217","01/04/1996","EMEB","01/04/1996","932","01/04/1996",""
"217","01/04/1996","EMEB","01/04/1996","933","01/04/1996","01/04/2005"
"217","01/04/1996","EMEB","01/04/1996","934","01/04/1996","01/04/2005"
"217","01/04/1996","EMEB","01/04/1996","935","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","936","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","937","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","938","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","939","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","940","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","941","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","942","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","943","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","944","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","945","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","946","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","947","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","948","01/04/1996","31/10/1998"
"217","01/04/1996","EMEB","01/04/1996","949","01/04/1996","31/10/1998"
